block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs
0,2004-06-30,0.003,0,dtr,dtr,0.46518224477767944,0.0,0.0,0.0,332
1,2004-07-14,0.003,0,dtr,dtr,0.6486152410507202,0.589765727519989,0.09020489454269409,0.0313753923623434,213
2,2004-07-31,0.003,0,dtr,dtr,1.1805033683776855,2.501310348510742,0.048167984932661057,0.30136557277080833,195
3,2004-08-11,0.003,0,dtr,dtr,0.937170684337616,1.4069782495498657,0.00506945513188839,0.010035431504898001,220
4,2004-08-25,0.003,0,dtr,dtr,0.6176508665084839,1.578414797782898,0.15855686366558075,0.3950275036607691,166
5,2004-09-08,0.003,0,dtr,dtr,0.6507856249809265,1.030644178390503,0.16302715241909027,0.17317191190353182,237
6,2004-09-22,0.003,0,dtr,dtr,0.2855004370212555,1.0603092908859253,0.0679856613278389,0.07643327354382136,201
7,2004-10-07,0.003,0,dtr,dtr,0.23323017358779907,2.3673222064971924,0.006610995624214411,0.037049437069755636,116
8,2004-10-20,0.003,0,dtr,dtr,0.3285852372646332,0.7426848411560059,0.25609663128852844,0.14125797792127778,322
9,2004-11-03,0.003,0,dtr,dtr,0.1838407963514328,4.305335521697998,0.03061343915760517,0.567448074073463,305
10,2004-11-17,0.003,0,dtr,dtr,0.8203303813934326,1.8594954013824463,0.25843021273612976,0.893580128658894,328
11,2004-12-01,0.003,0,dtr,dtr,0.2519959509372711,1.149946928024292,0.25634777545928955,0.3389886425362509,307
12,2004-12-17,0.003,0,dtr,dtr,0.6536575555801392,1.5976122617721558,0.004340120125561953,0.011077570439379587,237
13,2005-01-01,0.003,0,dtr,dtr,0.25582313537597656,1.4250354766845703,0.04498137906193733,0.09134486091631992,224
14,2005-01-12,0.003,0,dtr,dtr,0.7688669562339783,1.3407779932022095,0.002970401430502534,0.005339847958199038,279
15,2005-01-26,0.003,0,dtr,dtr,0.15224891901016235,2.018606662750244,0.05943416804075241,0.24218073482374056,296
16,2005-02-11,0.003,0,dtr,dtr,0.16005907952785492,1.3082793951034546,0.040154457092285156,0.06872816700919958,281
17,2005-02-23,0.003,0,dtr,dtr,0.2029307335615158,0.8407312631607056,0.05142772197723389,0.0363506082214103,331
18,2005-03-09,0.003,0,dtr,dtr,0.40964674949645996,2.808095932006836,0.019433945417404175,0.15324448689725687,320
19,2005-03-23,0.003,0,dtr,dtr,0.1430312991142273,1.157148838043213,0.14955070614814758,0.20024741349042313,281
0,2004-06-30,0.003,1,dtr,dtr,0.34909242391586304,0.0,0.0,0.0,332
1,2004-07-14,0.003,1,dtr,dtr,0.45924675464630127,0.589765727519989,0.06543087214231491,0.02275840237365175,213
2,2004-07-31,0.003,1,dtr,dtr,1.1838462352752686,2.501310348510742,0.06193666160106659,0.3875100344141794,195
3,2004-08-11,0.003,1,dtr,dtr,1.0083979368209839,1.4069782495498657,0.008251548744738102,0.016334665182508496,220
