block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs,subspace,source
0,2004-06-30,0.0,1,standard,standard,0.3633093535900116,0.0,0.0,0.0,332,all_features_k2,subspace_ablation
1,2004-07-14,0.0,1,standard,standard,0.46581074595451355,0.589765727519989,0.06492885202169418,0.02258378792131944,213,all_features_k2,subspace_ablation
2,2004-07-31,0.0,1,standard,standard,1.1517995595932007,2.501310348510742,0.058177318423986435,0.36398950285391923,195,all_features_k2,subspace_ablation
3,2004-08-11,0.0,1,standard,standard,0.9711520671844482,1.4069782495498657,0.007894289679825306,0.015627439498058903,220,all_features_k2,subspace_ablation
4,2004-08-25,0.0,1,standard,standard,0.44631636142730713,1.578414797782898,0.17478039860725403,0.43544670949268705,166,all_features_k2,subspace_ablation
5,2004-09-08,0.0,1,standard,standard,0.4142194390296936,1.030644178390503,0.16940158605575562,0.17994301011498692,237,all_features_k2,subspace_ablation
6,2004-09-22,0.0,1,standard,standard,0.24140194058418274,1.0603092908859253,0.054374054074287415,0.06113034524597238,201,all_features_k2,subspace_ablation
7,2004-10-07,0.0,1,standard,standard,0.19944420456886292,2.3673222064971924,0.005534748081117868,0.03101791505915489,116,all_features_k2,subspace_ablation
8,2004-10-20,0.0,1,standard,standard,0.26728948950767517,0.7426848411560059,0.2417249083518982,0.13333081187048337,322,all_features_k2,subspace_ablation
9,2004-11-03,0.0,1,standard,standard,0.2477637678384781,4.305335521697998,0.04265890643000603,0.7907218189751611,305,all_features_k2,subspace_ablation
10,2004-11-17,0.0,1,standard,standard,0.9240242838859558,1.8594954013824463,0.21653863787651062,0.7487306605705648,328,all_features_k2,subspace_ablation
11,2004-12-01,0.0,1,standard,standard,0.3176860511302948,1.149946928024292,0.23048661649227142,0.3047904164859691,307,all_features_k2,subspace_ablation
12,2004-12-17,0.0,1,standard,standard,0.808178722858429,1.5976122617721558,0.010270826518535614,0.02621489750009962,237,all_features_k2,subspace_ablation
13,2005-01-01,0.0,1,standard,standard,0.2814019024372101,1.4250354766845703,0.06879080832004547,0.1396952905704252,224,all_features_k2,subspace_ablation
14,2005-01-12,0.0,1,standard,standard,0.7839218974113464,1.3407779932022095,0.008678670972585678,0.015601522069359698,279,all_features_k2,subspace_ablation
15,2005-01-26,0.0,1,standard,standard,0.20080718398094177,2.018606662750244,0.09262387454509735,0.37742125008249144,296,all_features_k2,subspace_ablation
16,2005-02-11,0.0,1,standard,standard,0.1700272262096405,1.3082793951034546,0.0578598752617836,0.09903267178993536,281,all_features_k2,subspace_ablation
17,2005-02-23,0.0,1,standard,standard,0.22736789286136627,0.8407312631607056,0.0769021213054657,0.0543566538725523,331,all_features_k2,subspace_ablation
18,2005-03-09,0.0,1,standard,standard,0.4190274178981781,2.808095932006836,0.032207928597927094,0.2539724891679814,320,all_features_k2,subspace_ablation
19,2005-03-23,0.0,1,standard,standard,0.17603157460689545,1.157148838043213,0.1397060751914978,0.18706551728537277,281,all_features_k2,subspace_ablation
0,2004-06-30,0.003,1,dtr,dtr,0.37841036915779114,0.0,0.0,0.0,332,all_features_k2,subspace_ablation
1,2004-07-14,0.003,1,dtr,dtr,0.51218181848526,0.589765727519989,0.07463911175727844,0.02596124554918711,213,all_features_k2,subspace_ablation
2,2004-07-31,0.003,1,dtr,dtr,1.296411156654358,2.501310348510742,0.06056704372167587,0.3789409469325927,195,all_features_k2,subspace_ablation
3,2004-08-11,0.003,1,dtr,dtr,1.08406400680542,1.4069782495498657,0.007942788302898407,0.01572344678035448,220,all_features_k2,subspace_ablation
4,2004-08-25,0.003,1,dtr,dtr,0.4528423547744751,1.578414797782898,0.17975179851055145,0.44783242177343063,166,all_features_k2,subspace_ablation
5,2004-09-08,0.003,1,dtr,dtr,0.40915265679359436,1.030644178390503,0.1743192821741104,0.18516672178718047,237,all_features_k2,subspace_ablation
6,2004-09-22,0.003,1,dtr,dtr,0.24301362037658691,1.0603092908859253,0.05376683920621872,0.06044768041335177,201,all_features_k2,subspace_ablation
7,2004-10-07,0.003,1,dtr,dtr,0.20230983197689056,2.3673222064971924,0.005933807697147131,0.033254330717486826,116,all_features_k2,subspace_ablation
8,2004-10-20,0.003,1,dtr,dtr,0.2582213282585144,0.7426848411560059,0.2530992031097412,0.1396046541685623,322,all_features_k2,subspace_ablation
9,2004-11-03,0.003,1,dtr,dtr,0.2550170421600342,4.305335521697998,0.04409501329064369,0.8173413721732565,305,all_features_k2,subspace_ablation
10,2004-11-17,0.003,1,dtr,dtr,0.918416440486908,1.8594954013824463,0.21716834604740143,0.7509080170893891,328,all_features_k2,subspace_ablation
11,2004-12-01,0.003,1,dtr,dtr,0.329155832529068,1.149946928024292,0.2328203171491623,0.30787645074683995,307,all_features_k2,subspace_ablation
12,2004-12-17,0.003,1,dtr,dtr,0.845407247543335,1.5976122617721558,0.009645111858844757,0.02461784534090842,237,all_features_k2,subspace_ablation
13,2005-01-01,0.003,1,dtr,dtr,0.2742944359779358,1.4250354766845703,0.06546978652477264,0.13295120489951787,224,all_features_k2,subspace_ablation
