lambda,seed,method,model,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard,subspace,source
0.003,0,dtr,dtr,0.617061197757721,0.27123356852038155,0.4556676745414734,0.08377677974738708,0.4588577151298523,0.14105594158172607,0.08303893228294328,0.1827560541620732,0.8476040496321697,all_features_k2,subspace_ablation
0.003,1,dtr,dtr,0.5638888478279114,0.3167849376283843,0.4578703045845032,0.10370325353747437,0.37841036915779114,0.17333319783210754,0.0888998513808474,0.2145278946066218,0.8173413721732565,all_features_k2,subspace_ablation
0.003,2,dtr,dtr,0.5666401982307434,0.24081351181556437,0.5096707344055176,0.08803043750054693,0.45140084624290466,0.17269915342330933,0.08365375879220664,0.19112910418602616,0.7515086334063852,all_features_k2,subspace_ablation
0.003,3,dtr,dtr,0.485126256942749,0.20372210864363047,0.46871840953826904,0.08512088879258944,0.3511512875556946,0.14829175174236298,0.07251746589317917,0.18335748363480803,0.7424195610412293,all_features_k2,subspace_ablation
0.003,4,dtr,dtr,0.41023629903793335,0.19818375028412918,0.3870793282985687,0.060498095475399284,0.2937166392803192,0.1497689038515091,0.06592680783942342,0.15922805598157125,0.70509506703039,all_features_k2,subspace_ablation
0.003,5,dtr,dtr,0.5113376379013062,0.22347782069239122,0.4111648499965668,0.05198153428729439,0.3557593524456024,0.15837591886520386,0.0661579831270501,0.1664635047505738,0.7444056769328395,all_features_k2,subspace_ablation
0.003,6,dtr,dtr,0.6322154998779297,0.24779429600156586,0.565569281578064,0.08999960981683394,0.45278945565223694,0.2395256757736206,0.08864116899203509,0.20264199169647412,0.7252609829932775,all_features_k2,subspace_ablation
0.003,7,dtr,dtr,0.3836173713207245,0.2037035087059284,0.37314748764038086,0.04284004734804601,0.2671203017234802,0.16032904386520386,0.07476402667816728,0.18870575040020174,0.8250417536743826,all_features_k2,subspace_ablation
0.003,8,dtr,dtr,0.5711140632629395,0.21501584217466158,0.42629435658454895,0.05515241796778486,0.41272038221359253,0.1290561854839325,0.07331608382519335,0.17316774277293132,0.7735269895461636,all_features_k2,subspace_ablation
0.003,9,dtr,dtr,0.411742240190506,0.23803259093185952,0.3787616193294525,0.05078137201672438,0.29709160327911377,0.13652250170707703,0.07321603745222091,0.17860640300676617,0.7334898862760545,all_features_k2,subspace_ablation
0.01,0,dtr,dtr,0.5868843793869019,0.25190569450115335,0.4203506112098694,0.06406797157504165,0.4280622601509094,0.13317978382110596,0.07531542570795864,0.17125461787838117,0.7357423649180821,all_features_k2,subspace_ablation
0.01,1,dtr,dtr,0.5805769562721252,0.3079532491749731,0.45797696709632874,0.10193831258611863,0.3927541673183441,0.16447991132736206,0.08503811503760517,0.2020691391717671,0.8163574550638261,all_features_k2,subspace_ablation
0.01,2,dtr,dtr,0.4706348776817322,0.2105386076302364,0.4482402503490448,0.05963587876052344,0.3672652542591095,0.1538485437631607,0.07306142579764127,0.1714929964259781,0.6674201850151623,all_features_k2,subspace_ablation
0.01,3,dtr,dtr,0.4577638804912567,0.19656697306139717,0.480478435754776,0.10009831643346812,0.32125428318977356,0.14985047280788422,0.06740018068812788,0.17844454262445392,0.7881376986869854,all_features_k2,subspace_ablation
0.01,4,dtr,dtr,0.376710444688797,0.1972412208030964,0.389959454536438,0.06421022228747826,0.2626389265060425,0.15101967751979828,0.06725988213438541,0.16049380055416113,0.6991879736874651,all_features_k2,subspace_ablation
0.01,5,dtr,dtr,0.515370786190033,0.2132814440233954,0.42580166459083557,0.05536862300476356,0.3587358593940735,0.14565885066986084,0.06246408959850669,0.15618038962980763,0.6879935480512132,all_features_k2,subspace_ablation
0.01,6,dtr,dtr,0.572721004486084,0.22321474634367844,0.5988274216651917,0.09391534175697025,0.408336877822876,0.21102818846702576,0.08267901297658682,0.1997385416397144,0.869898800577708,all_features_k2,subspace_ablation
0.01,7,dtr,dtr,0.4042942523956299,0.20228378032815866,0.36950385570526123,0.04355872683065727,0.27169010043144226,0.1532198041677475,0.0700119163026102,0.17061119490783777,0.7644064527568482,all_features_k2,subspace_ablation
0.01,8,dtr,dtr,0.5483638644218445,0.208760562436334,0.41747525334358215,0.054248346841708164,0.400799959897995,0.12951317429542542,0.06924663712270558,0.16429313043790844,0.7375568372711173,all_features_k2,subspace_ablation
0.01,9,dtr,dtr,0.3811725080013275,0.21337879772843985,0.3791041672229767,0.05358839283025849,0.2707483172416687,0.1320531666278839,0.06698104350361973,0.1692339678398653,0.6432688861221296,all_features_k2,subspace_ablation
0.03,0,dtr,dtr,0.4720518887042999,0.21458145996619915,0.39963507652282715,0.05751137878397422,0.34211862087249756,0.1339305341243744,0.058674526517279446,0.1414597755867473,0.6549694309512116,all_features_k2,subspace_ablation
0.03,1,dtr,dtr,0.504589855670929,0.22898858169029498,0.38779082894325256,0.06257874210338547,0.3419336676597595,0.1515509933233261,0.06086083359550685,0.1483043537014722,0.7265809054823478,all_features_k2,subspace_ablation
0.03,2,dtr,dtr,0.5092974305152893,0.20436009703011349,0.4934135973453522,0.07452394840559025,0.41965195536613464,0.16184614598751068,0.06327164731919765,0.14833440600552,0.5570588029263632,all_features_k2,subspace_ablation
0.03,3,dtr,dtr,0.40505993366241455,0.16186277784150221,0.5074821710586548,0.13448015147446968,0.32086408138275146,0.16561797261238098,0.05211124187335372,0.14289234512592586,0.7923004089841926,all_features_k2,subspace_ablation
0.03,4,dtr,dtr,0.3290717601776123,0.16099833784432246,0.37938764691352844,0.06957735725634348,0.24698486924171448,0.16175881028175354,0.05875399447977543,0.14497976253702957,0.7324000270098883,all_features_k2,subspace_ablation
0.03,5,dtr,dtr,0.41899973154067993,0.17274262329627726,0.4658478796482086,0.06680226713112955,0.32008156180381775,0.276955783367157,0.044027807633392514,0.10484258584179887,0.49327664403977756,all_features_k2,subspace_ablation
0.03,6,dtr,dtr,0.5844334363937378,0.18785974075054301,0.6283491849899292,0.11220040181358537,0.4336688816547394,0.18701554834842682,0.06977413312997668,0.17778955341722386,0.9104308132670618,all_features_k2,subspace_ablation
0.03,7,dtr,dtr,0.3757881820201874,0.16228057927098768,0.35815590620040894,0.04598728041206231,0.26654255390167236,0.13828353583812714,0.05810212984215468,0.1396986201968233,0.6296186089614745,all_features_k2,subspace_ablation
0.03,8,dtr,dtr,0.45433148741722107,0.18395783490148085,0.3928135335445404,0.05428595221344588,0.32744452357292175,0.14207330346107483,0.057714209565892814,0.1396825206309865,0.5897197448248045,all_features_k2,subspace_ablation
0.03,9,dtr,dtr,0.3109963834285736,0.16081735676732556,0.3624580204486847,0.059551713182560084,0.2410721629858017,0.13998626172542572,0.05376806235872209,0.13973886417966203,0.6540049173583612,all_features_k2,subspace_ablation
