lambda,seed,method,model,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard
0.003,0,dtr,dtr,0.630606472492218,0.10215581038902546,0.44956865906715393,0.0859709722574521,0.46518224477767944,0.1430312991142273,0.0856701982789673,0.1887123517880871,0.893580128658894
0.003,1,dtr,dtr,0.5243172645568848,0.060009056946326945,0.4419654905796051,0.08899478344674774,0.34909242391586304,0.1916140615940094,0.09225073128473013,0.22214399111385447,0.8320250006081684
0.003,2,dtr,dtr,0.5441457033157349,0.026771852476843473,0.4853796362876892,0.0785667783553748,0.4218733012676239,0.16705547273159027,0.08355397006962448,0.1911752837402062,0.7654255477327307
0.003,3,dtr,dtr,0.5035838484764099,0.024900160986801673,0.4574023187160492,0.0752264067374174,0.37017688155174255,0.14462842047214508,0.07546518398448825,0.1865610967570183,0.7265259403606475
0.003,4,dtr,dtr,0.4076373875141144,0.025187075343625298,0.38077786564826965,0.057248924007594446,0.289447546005249,0.15211597084999084,0.06820728202583268,0.16175079832771128,0.6931669451048348
0.003,5,dtr,dtr,0.4801771640777588,0.03073272417331564,0.38768255710601807,0.04960018801463217,0.32405075430870056,0.15792904794216156,0.06848776915576309,0.1724280498774351,0.7737279850212089
0.003,6,dtr,dtr,0.6709389686584473,0.04938801568129967,0.5539730787277222,0.10062184865303922,0.4842804968357086,0.22148145735263824,0.09027246332261711,0.20433843150569903,0.7607047560357139
0.003,7,dtr,dtr,0.3934560716152191,0.05051868044096848,0.36663973331451416,0.04359075310524077,0.2704896926879883,0.1671099066734314,0.07642934003379195,0.1938151895014117,0.837901496722344
0.003,8,dtr,dtr,0.5842117071151733,0.015161972621391559,0.4226267635822296,0.054998997458529916,0.42376312613487244,0.12715069949626923,0.0747578458627686,0.17640799270540272,0.8000329908757611
0.003,9,dtr,dtr,0.41560184955596924,0.026464784967488254,0.37850484251976013,0.05040547322973961,0.3061094284057617,0.13829615712165833,0.07557436234783381,0.1851887960146544,0.7580581181052742
0.01,0,dtr,dtr,0.6798825263977051,0.0869659711574686,0.4518885016441345,0.10799460010904124,0.48358801007270813,0.13606728613376617,0.08840583465062082,0.19487174225085935,0.8459044759998088
0.01,1,dtr,dtr,0.5522996187210083,0.05003945786377479,0.4428263306617737,0.09787964443126054,0.3657011389732361,0.18102826178073883,0.09098018510267139,0.2139257066500344,0.7570232276533663
0.01,2,dtr,dtr,0.5369417667388916,0.021392523009201577,0.4599669575691223,0.07936834229863426,0.41667571663856506,0.15062996745109558,0.08321678033098578,0.19016396863600232,0.7571870003158385
0.01,3,dtr,dtr,0.5202620029449463,0.01698620812646274,0.4459798336029053,0.07815434670230961,0.3739045262336731,0.14283567667007446,0.07380682020448148,0.184640100674746,0.7141608595279075
0.01,4,dtr,dtr,0.43974563479423523,0.018666145102731114,0.39935892820358276,0.06160236358059051,0.297911673784256,0.15184126794338226,0.07315674973651767,0.17520401013539538,0.7630098685091037
0.01,5,dtr,dtr,0.5194223523139954,0.019423124913511607,0.3964470326900482,0.05269902885869968,0.3478049039840698,0.1550641804933548,0.06758478931151331,0.1670682653312575,0.7512723439296979
0.01,6,dtr,dtr,0.6499765515327454,0.0339350085833977,0.5045295357704163,0.08572529752836304,0.453822523355484,0.1807410717010498,0.08647170164622367,0.1954579197961885,0.6795398875586188
0.01,7,dtr,dtr,0.4311116635799408,0.04313835481117512,0.3721923232078552,0.04782894540455556,0.2947390377521515,0.16485343873500824,0.0791290980996564,0.19485265217167444,0.8741051561732183
0.01,8,dtr,dtr,0.5732307434082031,0.013245892627485868,0.40290388464927673,0.055143214533579475,0.4120062291622162,0.12441248446702957,0.07849854053929448,0.18621226675474076,0.8107006415151615
0.01,9,dtr,dtr,0.42012059688568115,0.01715305735324991,0.371906042098999,0.04976049297446249,0.3146522641181946,0.1336343139410019,0.07503653923049569,0.18346391647335997,0.7441151325893944
0.03,0,dtr,dtr,0.6792458295822144,0.060064454736380744,0.4338773488998413,0.0934107749994734,0.4772331416606903,0.13307777047157288,0.08042959410231561,0.17976457470230042,0.7835855223937199
0.03,1,dtr,dtr,0.5858596563339233,0.022853604267383445,0.41352221369743347,0.07359647044861997,0.41153451800346375,0.1461876779794693,0.08039179327897727,0.19016428895861556,0.7965654538421533
0.03,2,dtr,dtr,0.657225489616394,0.016365560169877676,0.512363612651825,0.11377467284141082,0.5311627388000488,0.15295159816741943,0.08417074319440872,0.19016993424847978,0.7184243454115951
0.03,3,dtr,dtr,0.5399757027626038,0.017472344431383856,0.4294426441192627,0.07587949033285826,0.3855694830417633,0.13941548764705658,0.07271013311110437,0.18191844369028312,0.7343373403948402
0.03,4,dtr,dtr,0.42726972699165344,0.015455629907805343,0.4251992702484131,0.06959284137827078,0.2992408573627472,0.15512554347515106,0.07721356269903482,0.19452868198001352,0.8931063731307631
0.03,5,dtr,dtr,0.518633246421814,0.014704761114613763,0.38530656695365906,0.05087775602835979,0.34906378388404846,0.1872079223394394,0.06611913146916777,0.16043461090520067,0.7767116935483532
0.03,6,dtr,dtr,0.6389471888542175,0.02313863491189891,0.48705604672431946,0.07869635242728279,0.4503687620162964,0.15979719161987305,0.08536300321575255,0.19749942086780467,0.7256790217455051
0.03,7,dtr,dtr,0.4332997500896454,0.04474931420951054,0.36389490962028503,0.04415596478746241,0.2955460548400879,0.16159851849079132,0.07582155482377857,0.18314202791694428,0.7758279523568704
0.03,8,dtr,dtr,0.6516716480255127,0.011364557414219297,0.4438011944293976,0.07170197672274506,0.47162342071533203,0.1255492866039276,0.07560589683707804,0.17597401533843288,0.7373943818153835
0.03,9,dtr,dtr,0.4430132508277893,0.013448085867125412,0.37386730313301086,0.05226839779631881,0.3338034152984619,0.1313769817352295,0.07343810573220252,0.1782396499528794,0.6879026595564735
0.08,0,dtr,dtr,0.6868136525154114,0.0337233461182693,0.4347832202911377,0.0792404508606572,0.510749340057373,0.13540570437908173,0.07718700354453176,0.17706535195397063,0.7023849992463529
0.08,1,dtr,dtr,0.5916101336479187,0.013686024115003389,0.4425705671310425,0.1053667159694831,0.4346793293952942,0.1400110125541687,0.07559755747206509,0.17217797973292115,0.6258810737378542
0.08,2,dtr,dtr,0.6064693927764893,0.010872312147041848,0.49659350514411926,0.09329539598397268,0.4927489459514618,0.1481395959854126,0.07837161035276949,0.17852591960339576,0.6579381552104874
0.08,3,dtr,dtr,0.5646286606788635,0.007974089425185632,0.4373563230037689,0.07240768056386535,0.42733994126319885,0.1386481523513794,0.06713592906016856,0.16298030139074424,0.6116860548521268
0.08,4,dtr,dtr,0.43365320563316345,0.009267206130356625,0.44401347637176514,0.07379396929869844,0.32209381461143494,0.15183861553668976,0.07462754771113396,0.19085135482797969,0.9049567428866772
0.08,5,dtr,dtr,0.5350582003593445,0.008048381784866596,0.4200192391872406,0.057342513968605936,0.39141520857810974,0.17381906509399414,0.05985402935184538,0.13666824963641083,0.6581784120421038
0.08,6,dtr,dtr,0.6895641088485718,0.012805728460180348,0.5163854956626892,0.10695709570850917,0.5221924185752869,0.14496172964572906,0.0791258238721639,0.18053566016955286,0.6588101489094529
0.08,7,dtr,dtr,0.4720928966999054,0.034742948104595314,0.391022652387619,0.04282232193555851,0.34584707021713257,0.14237187802791595,0.07305304249748587,0.17993850017797927,0.7080438385257006
0.08,8,dtr,dtr,0.7092100977897644,0.007451752855859954,0.48423057794570923,0.09509486328194208,0.5376154780387878,0.12444234639406204,0.07400775938294828,0.16691696006875995,0.6575237469547098
0.08,9,dtr,dtr,0.44701775908470154,0.007964350848362363,0.3970635235309601,0.06505414684732427,0.3617393970489502,0.13025718927383423,0.07026612462941557,0.16963295000765816,0.6629494912509496
0.003,0,isotropic,isotropic,0.5479891896247864,0.11234187750980772,0.42993780970573425,0.06654400216905335,0.3949340581893921,0.14475563168525696,0.08189942106837407,0.18249218409766527,0.8663786036385418
0.003,1,isotropic,isotropic,0.5636584162712097,0.07161099910736084,0.4688468277454376,0.10967824110914912,0.37882861495018005,0.1741076409816742,0.08889743615873158,0.21306958348099664,0.7958257034039943
0.003,2,isotropic,isotropic,0.5057821273803711,0.0389192926472631,0.49195101857185364,0.07464556539921727,0.38123056292533875,0.16913175582885742,0.0787244388833642,0.17958005618686615,0.7450209260913924
0.003,3,isotropic,isotropic,0.4599607288837433,0.028544931987236285,0.46712684631347656,0.08194203503568417,0.3279053866863251,0.15199463069438934,0.07367169810459018,0.18792239910164402,0.7188279231528767
0.003,4,isotropic,isotropic,0.41685929894447327,0.03311319844476108,0.3988763988018036,0.06358689090671417,0.2905959486961365,0.14550092816352844,0.06500688547967001,0.1514810581434214,0.5851156664362557
0.003,5,isotropic,isotropic,0.5037413239479065,0.04442205757930361,0.43240442872047424,0.05808457115295997,0.3414042890071869,0.14379173517227173,0.06606032859999686,0.16294039359858664,0.745466197277073
0.003,6,isotropic,isotropic,0.570281982421875,0.06633429979455882,0.5266017317771912,0.0773157295089566,0.38856422901153564,0.20587310194969177,0.08688353658653795,0.20143628242605566,0.7459133748540833
0.003,7,isotropic,isotropic,0.3684748709201813,0.07516394812485268,0.3676031231880188,0.04258253735205614,0.2568639814853668,0.15851649641990662,0.07384403590112924,0.1811387482907735,0.8299139746718758
0.003,8,isotropic,isotropic,0.547745406627655,0.02481318630021194,0.441657692193985,0.05813911192204011,0.388092041015625,0.13186758756637573,0.07260608836077154,0.17208114679604797,0.7621860736228834
0.003,9,isotropic,isotropic,0.3975467383861542,0.04043743774808686,0.38019388914108276,0.05161375345588374,0.2740168869495392,0.13402236998081207,0.07184901279397309,0.17707768305673235,0.7346731370026406
0.01,0,isotropic,isotropic,0.5544092059135437,0.12157032243136702,0.42725738883018494,0.06376267628823874,0.398044228553772,0.14473289251327515,0.07783391115954146,0.17668688251759587,0.7838702445149964
0.01,1,isotropic,isotropic,0.48821163177490234,0.09130546224528345,0.45434194803237915,0.08807722219852052,0.3180874288082123,0.15982213616371155,0.08210958435665816,0.1920713077551683,0.7408808108885458
0.01,2,isotropic,isotropic,0.3893592059612274,0.06580520416128224,0.4308702349662781,0.05801997675699725,0.27362239360809326,0.15189297497272491,0.07250731228850782,0.1662641380888872,0.7162115918429487
0.01,3,isotropic,isotropic,0.37194105982780457,0.043924433609534956,0.4352150559425354,0.0786459759725605,0.2568145990371704,0.14825142920017242,0.06750584915280342,0.1755988152996309,0.6974785307819236
0.01,4,isotropic,isotropic,0.3406409025192261,0.05675266364525104,0.40086793899536133,0.06670067419606676,0.24367575347423553,0.14787088334560394,0.0611200709536206,0.1405725394154767,0.5826263718319968
0.01,5,isotropic,isotropic,0.4611106216907501,0.056305516999343344,0.4417979419231415,0.06231530506681458,0.30533212423324585,0.13852140307426453,0.060113713378086686,0.14501386850993506,0.6784336653465656
0.01,6,isotropic,isotropic,0.4870705306529999,0.06478272142081425,0.5234518051147461,0.07532004505421333,0.3231438994407654,0.1674734354019165,0.07626233489718288,0.18049216053710265,0.6584655855703129
0.01,7,isotropic,isotropic,0.338724285364151,0.09085990807105755,0.3740987777709961,0.04410860097615373,0.22776854038238525,0.1454715132713318,0.07004375669639558,0.16698717579961045,0.7758378449821481
0.01,8,isotropic,isotropic,0.4935304820537567,0.04055774910696622,0.44635021686553955,0.0609605354263376,0.34376534819602966,0.13636581599712372,0.06866152589209377,0.16428801052136874,0.7225696645475305
