dataset,basis,seed,deploy_mse_difference,volatility_difference
Air Quality,oracle_deployment,0,-0.008244663476944025,-0.003811228722226112
Air Quality,oracle_deployment,1,-0.0017961859703063965,0.0024972403695609074
Air Quality,oracle_deployment,2,-0.043189823627471924,-0.023896941933536697
Air Quality,oracle_deployment,3,-0.020250469446182195,-0.006020577839713201
Air Quality,oracle_deployment,4,-0.015965849161148127,-0.005010403428252701
Air Quality,oracle_deployment,5,-0.02214109897613531,-0.0019993859068259054
Air Quality,oracle_deployment,6,-0.040732383728027344,-0.005729415156457696
Air Quality,oracle_deployment,7,-0.013753712177276611,-0.0006207985871304958
Air Quality,oracle_deployment,8,-0.004415780305862371,-0.0010031219244950942
Air Quality,oracle_deployment,9,0.0005242526531218927,-0.00031575526867919784
Air Quality,prospective_predeployment,0,0.008816927671432495,0.006586486573200295
Air Quality,prospective_predeployment,1,-0.0012203752994537909,0.0023832946746191047
Air Quality,prospective_predeployment,2,-0.011662185192108154,-0.003263827386245796
Air Quality,prospective_predeployment,3,-0.0001201629638671875,-5.470344494400148e-05
Air Quality,prospective_predeployment,4,-0.013393133878707941,-0.004405539295508
Air Quality,prospective_predeployment,5,-0.009406775236129816,-0.0009878358993342037
Air Quality,prospective_predeployment,6,-0.013983607292175293,0.0016575416796438952
Air Quality,prospective_predeployment,7,-0.002620786428451538,0.000752749756512204
Air Quality,prospective_predeployment,8,0.0006489455699921209,0.0023296104201783047
Air Quality,prospective_predeployment,9,0.0021803677082061212,0.0008530927183015014
Air Quality,random_control,0,0.01106572151184082,0.0042929395429930906
Air Quality,random_control,1,0.03080692887306208,0.03670192486321561
Air Quality,random_control,2,0.013753056526184082,0.0020688501918434965
Air Quality,random_control,3,0.012501776218414307,0.0018524661886473032
Air Quality,random_control,4,-0.00015050172805791684,-0.00041188294418789684
Air Quality,random_control,5,0.011137604713439886,0.0020549447930220954
Air Quality,random_control,6,0.0072446465492248535,0.005149559327692996
Air Quality,random_control,7,-0.006617307662963812,-0.001939983120815697
Air Quality,random_control,8,0.019359916448593195,0.0052556775419745
Air Quality,random_control,9,0.010313421487808228,0.0008249289432470039
Tetouan,oracle_deployment,0,-13590208.0,-349129489908089.75
Tetouan,oracle_deployment,1,-164923048.0,-2.654783847878053e+16
Tetouan,oracle_deployment,2,13656608.0,445151682027951.94
Tetouan,oracle_deployment,3,-93392848.0,-2.2299910511241976e+16
Tetouan,oracle_deployment,4,-3990016.0,-91178212182417.62
Tetouan,oracle_deployment,5,-25783830.0,-1057620626023230.2
Tetouan,oracle_deployment,6,-6560.0,-36217093392795.375
Tetouan,oracle_deployment,7,-151178992.0,-2.8834402410250944e+16
Tetouan,oracle_deployment,8,-4734324.0,-80404368182093.06
Tetouan,oracle_deployment,9,48981820.0,2619148686025313.0
Tetouan,prospective_predeployment,0,-16181330.0,-380841295641473.44
Tetouan,prospective_predeployment,1,-188393912.0,-2.9700312374839424e+16
Tetouan,prospective_predeployment,2,18152640.0,610300143371686.8
Tetouan,prospective_predeployment,3,-121498568.0,-2.576789553085591e+16
Tetouan,prospective_predeployment,4,-1558452.0,-64680318464620.19
Tetouan,prospective_predeployment,5,-4488252.0,-392579944754189.9
Tetouan,prospective_predeployment,6,76708.0,4722010014564.6875
Tetouan,prospective_predeployment,7,-61674256.0,-1.5037711449483028e+16
Tetouan,prospective_predeployment,8,-1711382.0,-85240581476702.4
Tetouan,prospective_predeployment,9,-14213508.0,-103364540559776.9
Tetouan,random_control,0,30085096.0,860735686048584.0
Tetouan,random_control,1,-126545680.0,-2.2463691444691816e+16
Tetouan,random_control,2,-2171338.0,-72773878101394.28
Tetouan,random_control,3,-177343552.0,-3.228659005556957e+16
Tetouan,random_control,4,-16095170.0,-366021991975756.5
Tetouan,random_control,5,-19736316.0,-830269104227290.4
Tetouan,random_control,6,-8763230.0,-242329453765464.3
Tetouan,random_control,7,-56480400.0,-1.4445370511174784e+16
Tetouan,random_control,8,-4186666.0,-90400386724958.5
Tetouan,random_control,9,-18365318.0,-127663136505796.44
