dataset_key,dataset,comparison,metric,n_seeds,wins,losses,ties,mean_difference,bootstrap_ci_low,bootstrap_ci_high
air_quality,Air Quality,dtr_minus_standard,deploy_mse,10,9,1,0,-0.016996571421623242,-0.02637838937342167,-0.008851188123226196
air_quality,Air Quality,dtr_minus_standard,volatility,10,9,1,0,-0.004591038839775619,-0.009459476113455321,-0.0011685085635403385
air_quality,Air Quality,dtr_minus_standard,mean_gain,10,6,4,0,-3.9564754115402335e-05,-0.0011304775758471703,0.0012753908120794568
air_quality,Air Quality,dtr_minus_standard,terminal_risk,10,7,3,0,-0.004275585711002355,-0.011470262669026876,0.002137249596416971
air_quality,Air Quality,dtr_minus_isotropic,deploy_mse,10,3,7,0,0.017445269227027903,-0.01395640373229982,0.048890997022390366
air_quality,Air Quality,dtr_minus_isotropic,volatility,10,6,4,0,-0.00838885678896222,-0.020231138373698082,0.0034254499182224665
air_quality,Air Quality,dtr_minus_isotropic,mean_gain,10,0,10,0,0.02580558251414914,0.021715995226331847,0.030135410281160176
air_quality,Air Quality,dtr_minus_isotropic,terminal_risk,10,6,4,0,-0.01607358157634737,-0.053741754665970816,0.015341393984854186
tetouan_zone1_power,Tetouan,dtr_minus_standard,deploy_mse,10,7,3,0,-19430373.6,-56814007.6,5986973.174999995
tetouan_zone1_power,Tetouan,dtr_minus_standard,volatility,10,7,3,0,-4248135269725047.0,-1.02798346074548e+16,-42788779010589.6
tetouan_zone1_power,Tetouan,dtr_minus_standard,mean_gain,10,6,4,0,-0.005220502938997609,-0.01416647805075625,0.0012631726589946294
tetouan_zone1_power,Tetouan,dtr_minus_standard,terminal_risk,10,3,7,0,-8499.3,-1364633.6849999998,1206909.379999999
tetouan_zone1_power,Tetouan,dtr_minus_isotropic,deploy_mse,10,6,4,0,-12442139.7,-34661523.27,11389195.769999968
tetouan_zone1_power,Tetouan,dtr_minus_isotropic,volatility,10,7,3,0,-751497283083592.5,-3743093341769229.0,2946886966141262.5
tetouan_zone1_power,Tetouan,dtr_minus_isotropic,mean_gain,10,6,4,0,-0.00337269187827286,-0.009774562747819225,0.0030282216099051795
tetouan_zone1_power,Tetouan,dtr_minus_isotropic,terminal_risk,10,4,6,0,-375702.0,-1808881.075,876856.4174999999
