method,lambda,seed,volatility,bound_fd,bound_chain,bound_jv,terminal_risk,initial_risk,max_risk,mean_gain,mean_hazard
dtr,0.01,0,0.00033005413495418133,0.0014010174028607212,0.0004496891921825756,0.28962378179413195,0.09990277141332626,0.05407482758164406,0.11265963315963745,3.468098710222942,2.8137632413154106
dtr,0.01,1,0.0006079167445765878,0.002692111820957502,0.0007764307838732638,0.31568144241846147,0.12651097774505615,0.05160669982433319,0.13018471002578735,3.7761801742925876,3.066662287038159
dtr,0.01,2,0.0003820613774325381,0.0020133839371406434,0.0005283433275929615,0.27432746502008776,0.10620700567960739,0.05644438788294792,0.11703807860612869,3.281223186632482,2.6650247594495853
dtr,0.01,3,0.0007214355025018859,0.003000787744073823,0.0009506941293588009,0.2930730828642899,0.1299818903207779,0.05212828516960144,0.14128610491752625,3.5119843715574683,2.8471592378184076
dtr,0.01,4,0.00036507856846877733,0.002737468352319055,0.00048095049740390686,0.2811921657470227,0.10794680565595627,0.04589981213212013,0.1190352514386177,3.368651791316707,2.7320847082623776
dtr,0.01,5,0.0003076366855776008,0.0027354368638584526,0.000402731107149071,0.30022997519358574,0.11899470537900925,0.05690070986747742,0.11899470537900925,3.6081570299660286,2.9174172166114474
dtr,0.01,6,0.0005260135484523595,0.003865190115330199,0.0006529058031492058,0.2681867297326534,0.13497526943683624,0.05819334089756012,0.13497526943683624,3.220930715886558,2.606268717268109
dtr,0.01,7,0.00019646305493288438,0.0025600432961063366,0.0003257222199873929,0.26851024378357985,0.1045302301645279,0.05744132399559021,0.1045302301645279,3.21362354115742,2.609354699263612
dtr,0.01,8,0.00035752452143726583,0.0022285716342030507,0.0004915246780790017,0.2669937511263076,0.10976208001375198,0.05442872270941734,0.11275255680084229,3.206776194456147,2.594698293841596
dtr,0.01,9,0.0005331572226891874,0.0025267450499854038,0.0007292905345613811,0.28173747438604013,0.12226634472608566,0.05234280973672867,0.12642039358615875,3.38694749808893,2.7377973615709794
dtr,0.01,10,0.0003878478245663046,0.0022614979513729903,0.0005520075402026558,0.28625364777446877,0.1125439703464508,0.057916246354579926,0.12346188724040985,3.448485246518763,2.7816981658507887
dtr,0.01,11,0.0004296145672359485,0.002642734277886108,0.0005510000290315439,0.276545259462424,0.11324703693389893,0.04957880452275276,0.11324703693389893,3.321291365274569,2.6868135520233896
